Branch;WHSE;GRP;Code;Description;OH;OnSO;OnPO;AVGCost;Value;Stk Fctr B3 Max;LastGRVDate;LastTransDate;B3Max;GRP Sales;Branch#1;B#1OH;B#1Sales;Branch#2;B#2OH;B#2sales;Branch#3;B#3OH;B#3sales
Wadeville;Wad_MW;GLOV;G128/10;Glove Pioneer Tank Flex S10;56;0;0;R31,30;R1 752,80;99,0;2023/11/15;2023/11/29;0,0;388,0;Steelpoort;360;388;;;;;;
Wadeville;Wad_MW;GLOV;GLG20/07;Glove Green Lined 8 Cuff Size 7;43;0;0;R40,70;R1 750,15;99,0;2025/07/28;;0,0;24,0;Rustenburg;17;24;;;;;;
Wadeville;WadSerNewVaal_MW;MB;AM0212169;MB C/Suit Poly Viscose B/Green Acid Rep S107/42 C150930971T-107/42 Closed Front Arms/Breasts X On Back;4;0;0;R435,70;R1 742,80;99,0;;;0,0;;;;;;;;;;
Wadeville;Wad_MW;GUM;G120006;Gumboot Wayne Gripper NSTC Black/Black S06  F1200;14;0;0;R124,25;R1 739,50;99,0;2024/10/16;2024/04/24;0,0;2,0;Bloemfontein;0;2;;;;;;
Wadeville;Wad_MW;MB;MBFJKTREFS;MB Freezer Jacket Navy Relflective Tape S;7;0;150;R246,00;R1 722,00;22,4;2025/07/22;2026/02/26;7,0;255,0;Potchefstroom;11;85;Bloemfontein;0;77;Rustenburg;0;48
Wadeville;Wad_MW;CS;SOJD59MANORREF30/77;C/Suit Jacket D59 F/Acid Manager S/Orr AGP S30/77  13N70215056.CA-19802.01 S77 2402876;5;0;0;R344,00;R1 720,00;99,0;2023/10/10;2023/11/03;0,0;;;;;;;;;;
Wadeville;Wad_MW;MB;AM0212273;MB C/Suit D59 Closed Front Red S157/62 C1509500B59-157/62  9000001479 50mm Ind Wash Silver Tape ;3;0;0;R570,85;R1 712,55;99,0;2023/07/26;2023/08/01;0,0;;;;;;;;;;
Wadeville;Wad_MW;MB;MBGOCSRBJ5436;MB C/Suit Gold Range J54 Royal Blue S36/92  ;6;0;0;R284,97;R1 709,81;99,0;2025/03/06;2024/03/06;0,0;72,0;Phalaborwa;25;52;Bloemfontein;23;12;Polokwane;0;4
Wadeville;Wad_MW;MB;MBTRBD5954;MB C/Suit Trouser D59 SABS Royal Blue S54/137  ;10;0;0;R166,75;R1 667,50;99,0;;;0,0;;;;;;;;;;
Wadeville;Wad_MW;MB;MBCSNC952;MB C/Suit Poly/Cotton C9 Cut 80/20 Navy S52/132;11;0;0;R150,52;R1 655,70;16,5;2025/04/07;2025/09/18;0,7;20,0;Tzaneen;27;18;Wadeville;11;2;;;
