;;;;Sales Analysis;;;;;;;;
Pienaar Bros North (Pty) Ltd;;;;;;;;;;;;
From:;01/01/2026;;;;;;;;;;;
To:;02/04/2026;;;;;;;;;;;
Sales Analysis Report;;;;;;;;;;Page 1 of 489;;
Item/Account;Description/Name;;TxDate;InvNum;Account;Unit Cost;Unit SellP;Quantity;Amount;Line Cost;Profit;GP %
;;;;;;;;;;;;
GSH13709;Gumboot Stimela Black/Grey+STC+Metatarsal S09;;05/01/2026;010-INV179102;SERI001_TVL;291;420,00;15;6 300,00;4 365,00;1 935,00;30,71
GSH137W08;Gumboot Stimela+STC+Metatarsal+W/Calf S08;;05/01/2026;010-INV179102;SERI001_TVL;393,7;328,00;3;983,85;1 181,10;-197,25;0,00
R909CLB A29 ANGLO;Safety Cap Rhino W/Lamp Bracket White & Ratchet;;05/01/2026;010-INV179102;SERI001_TVL;41,48;54,00;60;3 237,00;2 488,80;748,20;23,11
SC3322;Socks Wool Cold Room Miners Grey Long 5005;;05/01/2026;010-INV179102;SERI001_TVL;18,5;19,00;90;1 732,50;1 665,00;67,50;3,90
SC3322;Socks Wool Cold Room Miners Grey Long 5005;;05/01/2026;010-INV179102;SERI001_TVL;18,5;19,00;60;1 155,00;1 110,00;45,00;3,90
UPBL;Underwear Thermal Long Johns Black L;;05/01/2026;010-INV179102;SERI001_TVL;80,14;94,00;9;841,50;721,26;120,24;14,29
UPBL;Underwear Thermal Long Johns Black L;;05/01/2026;010-INV179102;SERI001_TVL;80,14;94,00;12;1 122,00;961,68;160,32;14,29
UPBXL;Underwear Thermal L/Johns Mens Interlock Black XL;;05/01/2026;010-INV179102;SERI001_TVL;80,14;94,00;6;561,00;480,84;80,16;14,29
LOVEB2XL;Underwear Thermal Vest Men Long Sleeve Black 2XL;;05/01/2026;010-INV179102;SERI001_TVL;84,87;99,00;12;1 187,88;1 018,44;169,44;14,26
LOVEBL;Underwear Thermal Vest Mens Long Sleeve Black L;;05/01/2026;010-INV179102;SERI001_TVL;80,14;94,00;6;561,00;480,84;80,16;14,29
